speech,classs
"Warm greetings to everyone celebrating Christmas. At this joyous season each year, we savor our treasured Christmas traditions: a favorite ornament placed carefully on the tree, candles in the windows, a wreath on the door, family and friends gathered to exchange not only material gifts, but also the gifts of love and laughter. But amidst all these traditions, we remember that the true message of Christmas is in the Child whose birth we celebrate&mdash;the living proof of God's mercy and unending love. Christ's message of renewal and reconciliation is as fresh and powerful today as it was on that first Christmas two thousand years ago. For Americans of many faiths, this is a season of renewal&mdash;of light shining through the darkness, of despair transformed to hope. This year, Christmas is celebrated during the same week as Jews celebrate Hanukkah and Muslims celebrate the Eid Al-Fitr&mdash;a powerful and moving reminder that followers of the three Abrahamic faiths share fundamental values: a reverence for our Creator, a belief in human dignity, and a conviction that we must love our neighbors as ourselves. By building on these shared values, we can create a future where all God's children live together in peace and understanding. As Hillary, Chelsea, and I enjoy our last Christmas in the White House, we extend best wishes to all for a wonderful celebration and for peace and happiness in the years to come. BILL CLINTON",clinton
"A year ago today I announced the toughest air pollution standards for new cars and sport utility vehicles. Today we take another bold step to clean our air. We are adopting strong new measures to dramatically reduce unhealthy and unsightly emissions from trucks and buses powered by diesel fuel. Together, these actions represent the most sweeping effort ever to protect our air and our health from the pollution caused by the vehicles we drive. They ensure that by the end of the decade, every new car, truck, and SUV in America will be up to 95 percent cleaner than those on the road today. Today's action by the Environmental Protection Agency mandates cleaner diesel fuel and extends the latest pollution control technology to all trucks and buses for the first time. These advances will prevent not only the thick plumes of diesel exhaust all too familiar to motorists but also thousands of cases of respiratory illness and premature deaths. We will spare thousands of children and elderly the agony of asthma and bronchitis and help to fulfill the promise of clean, healthy air for every American. For the past 8 years, Vice President Gore and I have been guided by the conviction that a strong economy and a healthy environment go hand in hand. Indeed, our Nation entered the 21st century enjoying both unprecedented prosperity and the cleanest air and water in a generation. Our actions a year ago and today will help ensure an even safer and more prosperous future for generations yet to come.",clinton
"I am very pleased with the outcome of NATO's foreign ministers meeting in Brussels last week. Secretary Albright and her NATO colleagues reaffirmed the Alliance's commitment to peace, democracy, and respect for human rights throughout southeast Europe. They also reviewed the important progress we have made towards meeting our April 1999 Washington summit commitments&mdash;including improving our defense capabilities, increasing efforts against weapons of mass destruction, and reviewing the enlargement process at our next summit, to take place no later than 2002. I applaud the selection of Prague as the site for the next NATO summit. The Czech Republic under President Havel has been a driving force in the continued integration of Europe. Working closely with the EU, NATO also has advanced the goals we set at the Washington summit for strengthening European defense capabilities. I welcome the agreement at the EU's Nice summit to improve Europe's ability to act in times of crises and to put arrangements in place for close collaboration with NATO. NATO Defense and Foreign Ministers also acted to establish a strategic partnership with the EU. These efforts will strengthen NATO's European pillar, promote the EU's ability to manage crises where NATO is not engaged, and reinforce our transatlantic ties. We still have work to do to implement these arrangements and strengthen the habits of cooperation that have been NATO's hallmark since the end of the cold war. The United States looks forward to working with our European allies and partners to enhance our partnership and advance our common goals.",clinton
"Hillary and I were deeply saddened to learn of the death of Jason Robards. An accomplished actor, Mr. Robards was a commanding presence on the big screen and a passionate force on the stage. Jason Robards' numerous accomplishments represent the esteem in which his colleagues and his fans held him. After winning two Oscars and a Tony award, Hillary and I had the privilege of honoring Jason's long career both in 1997 with a National Medal of Arts and again in 1999 with the Kennedy Center Honors award for his lifetime of contribution to American arts and culture. Mr. Robards was also a hero in his pre-acting days. Surviving the attack on Pearl Harbor, he earned the Navy Cross&mdash;the secondhighest naval decoration. Mr. Robards will be missed by all of us who cherished him and his work. Our thoughts and prayers are with his wife, Lois, and their six children.",clinton
"I have withheld my approval of H.R. 2415, the Bankruptcy Reform Act of 2000. I firmly believe that Americans would benefit from bankruptcy reform legislation that would stem abuse of the bankruptcy system by, and encourage responsibility of, debtors and creditors alike. Unfortunately, this bill is not balanced reform and it omits critical language to require accountability and responsibility from those who unlawfully bar access to legal health services. I hope the next Congress can work in a bipartisan spirit to enact balanced legislation. Over the past several months, my Administration has engaged in a good faith effort to reach agreement with the bill's proponents on a number of outstanding issues. With this goal in mind, we have pursued negotiations notwithstanding my deep concern that the bill failed to address some creditor abuses and also unnecessarily disadvantaged all debtors to stem abuses by a few. An agreement was reached in those negotiations on an essential issue&mdash;limiting homestead exemptions&mdash;with compromises made on both sides. Unfortunately, H.R. 2415 fails to incorporate that agreement, instead reverting to a provision that my Administration has repeatedly said was fundamentally flawed and contrary to the central premise of this legislation: that debtors who truly have the capacity to repay a portion of their debts do so. The agreement would have benefited not only those debtors' creditors but also all other debtors through lower credit costs. In contrast, the current bill's unlimited homestead exemptions allow debtors who own lavish homes to shield their mansions from their creditors, while moderate-income debtors, especially those who rent, must live frugally under rigid repayment plans for 5 to 7 years. This loophole for the wealthy is fundamentally unfair and must be closed. And the inclusion of a provision that limits&mdash;to some degree&mdash;a wealthy debtor's capacity to move assets before bankruptcy into a home in a State with an unlimited homestead exemption does not ameliorate the glaring omission of a real homestead cap. Moreover, I have made clear that bankruptcy legislation must require accountability and responsibility from those who unlawfully bar access to legal health services. Far too often, we have seen doctors, health professionals, and their patients victimized by those who espouse and practice violence at health care clinics. The Congress and the States have established remedies for those who suffer as a result of these tactics. However, we are increasingly seeing the use of the bankruptcy system as a strategic tool by those who seek to promote clinic violence while shielding themselves from personal liability and responsibility. It is critical that we shut down this abusive use of our bankruptcy system and prevent endless litigation that threatens the court-ordered remedies owed to victims of clinic violence. The Senate was right in its bipartisan vote of 80-17 to adopt an amendment that would effectively close down any potential for this abuse of the Bankruptcy Code. Nonetheless, this critical provision was dropped from the final bill without public debate, and I fail to understand why the bill's proponents refuse to include this consensus provision to shut down the use of bankruptcy to avoid responsibility for clinic violence. On the positive side, the bill would improve credit card disclosures&mdash;although more can and should be done&mdash;and impose limitations on misleading creditor practices that encourage debtors to reaffirm dischargeable debts on potentially unfavorable terms. However, these beneficial provisions are outweighed by the bill's flaws and omissions. I would have signed a balanced bankruptcy reform bill that addressed known abuses, without tilting the playing field against those debtors who genuinely turn to bankruptcy for a fresh start. I have withheld my approval of H.R. 2415 because it does not strike the right balance. WILLIAM J. CLINTON The White House, December 19, 2000.",clinton
"Sue, Christy, Carin, Maggie, other family and friends. I was sitting in this service listening to Chuck's family members, friends, partner speak about him, and I was thinking he'd be fairly embarrassed by all these attempts to canonize him. So they put one client on the program. I have been on the receiving end of all this wisdom you have been celebrating, and he always told me what he thought, especially when I did not want to hear it. Chuck Ruff became the White House Counsel at an unusual point in history, when the White House was in the hands of the Democratic Party and the Congress was in the hands of a particular wing of the Republican Party, and a lot of the work of the White House Counsel was generated by the attempts of Congress to turn every political difference into a legal issue. And Chuck had to be calm in the face of all of it: Attempts to prove that our policy on climate change, for example, was actually a secret socialist plot to destroy the free enterprise system; serious questions from a person who believed that a good form of criminal investigation was shooting bullets into a watermelon in his backyard. And Chuck never lost his cool, never lost his temper, and never let me entirely lose my sense of humor about what often was a patently absurd situation. And then there were the serious issues beneath all the rancor and back-and-forth. And every single day&mdash;every single day&mdash;I was so profoundly grateful that my Counsel was so strong and wise and good and that he believed so profoundly in our Constitution and rule of law. As others have said, he never sought the spotlight, but when the moment came, he certainly shined. Millions of Americans saw him at work, mind and spirit. He cared about justice. He taught it; he shared it; and he lived it. His whole life was about doing good and doing right. Others have commented on his propensity for doing two things at once. I liked that. He once said that he finally understood that he had been picked as the White House Counsel because he was the only person who was not distracted by my doing crossword puzzles when we reviewed our latest strategy in dealing with the congressional requests. He was famous in the West Wing for watching football and listening to opera at the same time. But really, that captures the best of who he was, a competitor with passion, equal parts grace and guts, someone determined to make the most of every moment. For those of us who knew and loved him, Chuck Ruff may have been in a wheelchair, but he had more moves than Magic Johnson or Michael Jordan, and when he heated up, he could hit any ball further than Tiger Woods, because he was so intensely committed to doing right and doing good. I also would like to say a special word of appreciation, in front of his family and friends, for the fact that, in spite of all of the highprofile things Chuck did as the White House Counsel, one of the things that I most appreciated was that he was always there for the people in the White House, especially for the young people. He was always there with a calming and reassuring word, even in the craziest of times. He could always help people stop and take a breath, listen a little better, think a little harder, gather up their energies, and go on. In a town so often contentious, it was truly amazing to be reminded that you can be civil and effective at the same time. I'd also like to thank him publicly for how much he loved the District of Columbia and how strongly he supported our administration's efforts to be a good neighbor and a good partner. Who can forget that he began his closing statement last year in the well of the Senate: My name is Charles Ruff. I'm from the District of Columbia. And we don't have a vote in the Congress of the United States. I wish, in a way, this platform today in this house of God could be shared by every person in the White House who loved him. And I wish so much that every person out there on the streets of Washington, DC, whom he loved could know just a portion of what he labored to do for them. The reason I was proud to have him as my White House Counsel is that he was not a power lawyer; he was a powerful lawyer for people who had no power. No matter what he was asked to do, he did it with grace and honor, as if that alone was what God put him on Earth to do. And for that I am profoundly grateful. Chuck Ruff left us far too soon. But you can hear in the words and see in the voice of every person who has spoken today that he is still here. I hope he thinks we did all right by him today. I hope he is pleased by this vast assemblage of people, because he certainly always did more than all right by all of us.",clinton
"At the Queluz Summit on May 31, 2000 the U.S. and EU made a commitment to help stem and roll back the spread of HIV/AIDS, malaria and tuberculosis in Africa, and to address their severe economic, social and personal consequences. The scope of the problem requires a multi-faceted approach and the mobilisation of significant resources. As proof of this commitment, the U.S. and EU have dramatically increased financial resources dedicated to combating these scourges. Together we are now waging the battle against these diseases on all of the major fronts. The U.S. and EU agree that the response to HIV/AIDS, tuberculosis and malaria must be placed within a broad multisectoral framework of development aiming at the overall objective of alleviating poverty and to ensure a lasting impact of any specific action to combat HIV/ AIDS, malaria and tuberculosis. The U.S. and EU call upon countries to address and incorporate fully the health and development implications of HIV/AIDS, tuberculosis and malaria in the elaboration of their poverty reduction strategies and programs. The U.S. and EU plan to coordinate among the appropriate institutions and organisations at the global and regional level in order to ensure that all aspects of the response are endorsed by relevant stakeholders. The U.S. and EU are working to ensure that governments, institutions and civil society, including NGOs and the private sector, fully participate in these efforts. Diplomatic Cooperation in Africa The U.S. and EU participate together in donor coordination groups across Africa, assessing local needs and capacities and developing diplomatic and public awareness strategies. U.S. and EU diplomats have successfully encouraged African leaders to speak openly about the threat of HIV/AIDS, to set national priorities, to establish high level governmental coordinating mechanisms, to establish broad health sector and action plans to strengthen regional, national and local capacity to deliver health services and treatment, and to commit resources. We are making great strides in ensuring that our diplomatic activities are responsive to the needs and priorities of host countries, and complement the activities of other donor partners. <ul <liRegular high-level coordination involving the U.S. and EU, other donors and host governments has been established in several African countries. Similar coordination is proposed throughout sub-Saharan Africa. </li </ul Development Assistance Cooperation The U.S. and the EU are working together in planning and implementing country activities that are responsive to the needs and priorities of countries and regions. This assistance is being placed within national and regional health and development frameworks. <ul type=disc<liThe U.S. and the EU are collaborating in sub-Saharan African countries to support health policies and activities aiming at preventing the expansion of the diseases and at caring for and supporting people with HIV/AIDS, malaria and tuberculosis and those close to them. </li<liThe U.S. and the EU are enhancing their support for national health and other sector plans and policies. This support can take the form of a general support, either direct or through budget, or by supporting specific elements of those plans and policies for combating HIV/AIDS, malaria and tuberculosis, for example training, provision of commodities such as condoms and test kits, and improving access to interventions that reduce mother-to-infant HIV transmission. </li <liUnder the enhanced HIPC initiative, the U.S. and the EU will work together in close collaboration with national authorities of selected countries to identify mechanisms for the utilisation of debt relief towards comprehensive social programs responding to the challenge of HIV/AIDS, tuberculosis and malaria. </li <liThe U.S. and the EU will set up a working group to identify and take advantage of their respective comparative advantages in supporting procurement and the provision of technical assistance. </li</ul International Partnerships The U.S. and the EU jointly support multilateral HIV/AIDS initiatives such as UNAIDS and the International Partnership against AIDS in Africa. The U.S. and the EU continue to support the Roll Back Malaria Initiative and the Multilateral Initiative on Malaria, as well as coordinating our assistance to the Stop TB Initiative and the TB Coalition. The U.S. and the EU support new innovative partnerships to increase the availability and affordability of global public goods. Research Cooperation The U.S. and the EU agree that to combat these diseases, the international scientific community needs to work together. Long-term investments in the full range of scientific endeavour are necessary to accelerate the development and evaluation of new and affordable vaccines and drugs. <ul type=disc <liThe U.S. and the EU are enlarging public investment in research and development activities focused on confronting the three communicable diseases, and call upon the private sector to follow this example. </li <liThe U.S. and the EU will work together to strengthen the coordination of research projects and to ensure that the coordinated efforts contribute to strengthening sustainable capacities at local, national and regional levels in Africa. </li </ul Access to affordable drugs, vaccines and other commodities Better access to affordable pharmaceuticals and commodities to prevent or to treat the three communicable diseases is crucial. The U.S. and the EU will seek to assist in setting up effective infrastructures and will take steps to make key medicines and commodities more affordable and available. African leaders' commitment to improving health systems is essential to the success of these efforts, and we stand ready to provide technical assistance in this regard. <ul <liThe U.S. and the EU urge the pharmaceutical industry to make drugs for HIV/ AIDS, malaria and tuberculosis more affordable, particularly for the poorest countries. We reaffirm the importance of providing more affordable pricing and strict compliance with safety and quality assurance laws and regulations. </li </ul",clinton
"The United States and the European Union share a common vision on the question of arms export controls. That is why we have decided to work jointly to encourage all arms exporting countries to adopt the principles and degree of transparency which we apply to our own exports. We are agreed that we have special responsibilities in this respect. Accordingly, together we will pursue the promotion of these principles with rigor and seriousness of purpose. The European Union expressed, very early on, its determination to promote common high-level standards in this field with the adoption in 1991 and 1992 by the Luxembourg and Lisbon European Councils of the first set of common criteria for arms exports. The adoption in 1998 of the EU Code of Conduct for arms exports was a new step forward as it introduced a mechanism for notifications and consultations, the only one of its kind. Since its entry into force in June 1998, the Code of Conduct has helped to increase significantly the level of transparency in arms exports and to promote convergence of the national arms export policies implemented by Member States. The European Union encourages other countries to adhere to the principles of the code of conduct and welcomes the fact that 17 countries have declared they would apply these principles to their own export decisions. The United States, for its part, maintains comprehensive national arms export control policies, including registration of manufacturers and exporters of defense articles and services subject to U.S. jurisdiction, wide-ranging controls on exports of defense services, manufacturing licenses, technical assistance and brokering transactions, rigorous case-by-case review of applications or other requests for approval, requirements for U.S. government consent for retransfers of U.S. origin defense articles and services, and effective enforcement measures including a vigorous program of pre- and post-shipment monitoring of U.S. arms transfers. The United States has also supported efforts to strengthen international and multilateral controls involving greater responsibility, transparency and restraint. The United States has welcomed and expressed its strong support for the principles embodied in the EU Code of Conduct for Arms Exports, which are consistent with the U.S. arms transfer policy criteria. In furtherance of these policies and efforts, the United States has recently proposed the development and negotiation of an international arms sales code of conduct as a means of promoting principles and practices of responsibility, transparency and restraint on a wider international scale. In deciding to collaborate in the promotion of these principles regarding arms exports, the United States and the European Union reaffirm the right of States to acquire the means of selfdefense, consistent with the UN Charter Implementation of stringent and responsible controls by exporting States is a sine qua non for the acceptable conduct of arms exports. The efficiency of such controls is enhanced by a close dialogue between the licensing authorities and the exporting companies. We reaffirm the fundamental importance we attach to the promotion of democracy and the respect for human rights. For this reason, we deem it crucial to avoid export of military equipment when there is reason to believe that it will be used for internal repression or violation of internationally recognized human rights and fundamental freedoms. We also stress that arms transfers should not contribute to or result in excessive or destabilizing arms accumulations, regional instability, armed aggression, the precipitation, escalation or aggravation of internal or interstate conflicts, proliferation of weapons of mass destruction and missiles capable of delivering them, international terrorism, or in arms diversion. We reiterate the fundamental importance of respect, by all countries, of international commitments, in particular arms embargoes imposed by the United Nations Security Council and other competent international bodies. Illicit trafficking and diversion of military equipment are also serious concerns. We will continue to exercise particular vigilance with regard to exports of small arms and light weapons. We adopted a joint declaration on Common Principles on Small Arms and Light Weapons, on December 17, 1999, which encompasses these standards. We support the Moratorium and the Code of Conduct adopted by ECOWAS in 1999 and assert our intention to respect the Moratorium's principles when examining export applications at the national level. In this context, the United States and the European Union have decided to act jointly to encourage all arms exporting countries to submit their export decisions to rigorous criteria and to greater transparency. In particular, we commit ourselves to promoting the highest possible standards of conduct and enhanced export control practices based on our shared principles of responsibility, transparency and restraint, including: <ul type=disc<liimplementation of stringent national controls over exports of arms and military equipment, and of related technologies; </li<liauthorization of exports of arms and military equipment, and of related technologies only after an in-depth review of the internal situation of the buyer country and of the regional context in order to assure that such exports are not likely to create or heighten internal tensions or conflicts, to be used for the violation of human rights, to threaten peace and regional stability, or be diverted or re-exported in undesirable conditions; and </li<lipromotion of transparency by regularly circulating public information at the national level on authorized arms transfers and supporting expanded transparency regarding arms exports in the competent international fora, including the United Nations Register of Conventional Arms, the OSCE and the Wassenaar Arrangement. </li</ulThe United States and the European Union affirm their commitment to work together to promote the aforementioned principles and enhanced export control practices.",clinton
"Today I am signing into law H.R. 4942, the Departments of Commerce, Justice, State, the Judiciary, and Related Agencies Appropriations Act, 2001. I commend the Congress for approving a bill that provides critical funding for enforcing our Nation's laws, protecting our precious natural resources, promoting international peace, and supporting our diplomatic operations. Many portions of the Act are considerably improved compared to the previous House and Senate versions. I appreciate and commend the Congress for the many changes that have been made, including providing additional funding to finance the Lands Legacy program; to improve the health of our Nation's ocean fisheries; to help close the digital divide between our more and less affluent citizens; to improve trade compliance; to prosecute local firearms violations; to toughen our Nation's stance against cybercrime and terrorism; to provide additional law enforcement assistance to Native Americans; to fund peacekeeping requirements; and to improve worldwide embassy security. I applaud the Congress for providing over $430 million for the Department of Commerce's components of the Lands Legacy Initiative. This funding will help protect marine sanctuaries; support the new Northwestern Hawaiian Coral Reef Reserve and restore other coral reefs; expand estuarine research reserves; and promote recovery of Pacific coastal salmon runs through grants to western States and Tribes. The Act fully funds activities for the Pacific Salmon Agreement with Canada at $60 million and for the National Oceanic and Atmospheric Administration's (NOAA) work on Columbia River Basin salmon populations. Acceptable funding is also provided for a new climate observation initiative, a new education program with Minority Serving Institutions, and two smaller programs: Global Observations to Benefit the Environment and the Global Disaster Information Network. The Act takes an important step toward closing the digital divide by providing the requested tripling of funding for the Technology Opportunities Program. This program will provide grants to promote innovative applications of information technology in under-served communities. I am pleased that over $1.0 billion is provided for the COPS II/21st Century Policing initiative, the successor to the highly effective Community Oriented Policing Services (COPS) program, which will enable local police departments to begin a five-year plan to hire up to 50,000 additional community police officers, hire new community prosecutors, and expand communitybased prevention efforts. While the appropriated funding level is still below my original request, it is $444 million above the FY 2000 level, and will enable the COPS II program to fund almost 6,000 new officers in FY 2001. The Act provides almost $100 million for the Department of Justice's counterterrorism and cybercrime initiatives. This funding level will allow for improved efforts to meet the growing challenges of terrorism and cybercrime, including State and local first-responder training, staff support for the Joint Terrorism Task Forces and enhanced technology and intelligence-gathering along the northern border. The Department of Justice's components of the Gun Enforcement Initiative are funded at $103 million. This appropriation will support over 600 Federal, State and local gun prosecutors, and increase research on smart gun technologies. The Indian Country Law Enforcement initiative is funded at $111 million. This funding, which is $19 million above the FY 2000 level, will allow the Department of Justice to assist tribes in hiring and equipping law enforcement personnel, constructing detention and court facilities, and developing alternative sentencing programs for alcohol and substance abusers. I am pleased that the Act provides $4.7 billion for the regular operations of the Department of State, including diplomatic and consular programs; information technology investments; and, building leases, maintenance and repair. These funds will pay for support costs critical to maintaining the Department's network of overseas posts and the conduct of foreign affairs worldwide. The funded increases include expanded efforts to promote trade compliance and enhance labor and environmental monitoring. Funding for embassy security and construction also includes requested support for projects of the Agency for International Development. The Act also provides full funding for the Administration's pilot program to allow unclassified communication and sharing of information for all U.S. Government agencies operating at an overseas post, as recommended by the Overseas Presence Advisory Panel. The Act also provides $846 million for Contributions to International Peacekeeping Activities. Funding at this level will allow the United States to continue to support vital UN peacekeeping operations, including ongoing missions in Kosovo, East Timor, Ethiopia/Eritrea and Sierra Leone. I am also pleased that the Act provides $17 million for the Departments of Commerce and State and the United States Trade Representative to help ensure U.S. companies and workers receive the full benefits from the WTO and other bilateral agreements signed by the United States. This funding will help to put experts overseas to deal with compliance issues that continue to hinder fair access to markets, double staff focused on China and Japan, and strengthen antidumping/countervailing duty investigation capabilities. I am pleased that H.R. 4577, the Consolidated Appropriations bill, modifies immigration provisions included in this Act, and that the modified legislation will ease immigration restrictions on an estimated 700,000 immigrant families living in the United States. The provisions will extend section 245(i) until April 30, 2001, as opposed to January 14, 1998, under current law, to allow aliens (and their spouses and children) who apply for an adjustment of status or a labor certification to remain in the United States until such petition is approved. Additionally, the provisions will create a new, temporary non-immigrant visa for spouses and children of spouses of legal permanent residents and U.S. citizens seeking to enter the United States to await approval of legal permanent resident status for themselves (the V visa). The provisions will also allow certain individuals who were not granted amnesty under the Immigration Reform and Control Act of 1986 who are currently seeking such relief through the courts to apply for permanent residency. While I am disappointed that the legislation fails to eliminate the disparate treatment under our immigration laws sought for Salvadorans, Guatemalans, Hondurans, Haitians, and Liberians and does not provide any relief for deserving individuals affected by changes in the 1996 immigration law, it is the best compromise that could be reached after several rounds of intense negotiations. I am also pleased that the Consolidated Appropriations bill, once signed, will eliminate an objectionable provision in the Commerce/Justice/State Act that purports to protect citizens from the unauthorized sale or display of social security numbers but would not, in fact, provide privacy safeguards that are adequate. Although the funding levels in this Act are acceptable, I am troubled that several issues could not be resolved despite my Administration's best efforts during the final negotiations on the Act. Notably, the Act does not include new hate crimes protections, and fails to extend the Violent Crime Reduction Trust Fund. I strongly urge the next Congress to reconsider these actions in future legislation. In addition, this bill greatly restricts lowpower FM radio broadcast. Low power radio stations are an important tool in fostering diversity on the airwaves through community-based programming. I am deeply disappointed that Congress chose to restrict the voice of our nation's churches, schools, civic organizations and community groups. I commend the FCC for giving a voice to the voiceless and I urge the Commission to go forward in licensing as many stations as possible consistent with the limitations imposed by Congress. I also oppose language in the Act related to the Kyoto Protocol. The language is inappropriate because the Administration has no intent of implementing the Protocol prior to congressional ratification. The Act includes an additional number of provisions regarding the conduct of foreign affairs that raise serious constitutional concerns. My Administration's objections to these and other language provisions have been made clear in previous statements of Administration policy. I direct the agencies to construe these provisions to be consistent with the President's constitutional prerogatives and responsibilities and where such a construction is not possible, to treat them as not interfering with those prerogatives and responsibilities. Finally, section 629 of the Act amends the Interstate Horseracing Act of 1978 to include within the definition of the term interstate offtrack wager, pari-mutuel wagers on horseraces that are placed or transmitted from individuals in one State via the telephone or other electronic media and accepted by an off-track betting system in the same or another State. The Department of Justice, however, does not view this provision as codifying the legality of common pool wagering and interstate account wagering even where such wagering is legal in the various States involved for horseracing, nor does the Department view the provision as repealing or amending existing criminal statutes that may be applicable to such activity, in particular, sections 1084, 1952, and 1955 of Title 18, United States Code. Several essential modifications to this bill are contained in H.R. 4577, the Consolidated Appropriations bill. I am signing H.R. 4942 into law today because I believe the Act, as modified by H.R. 4577, will meet the overall needs and priorities of the American people. I urge the next Congress and my successor to continue to promote the needs of the American citizenry by pursuing resolution to the troublesome issues I have highlighted above. WILLIAM J. CLINTON The White House, December 21, 2000.",clinton
"Thank you. Well, first, I want to thank Janlori Goldman for her wonderful remarks and for her ongoing work in the area of health privacy. I thank the representatives of the doctors, nurses, consumers, and privacy community who are here today and who add input into this effort. I would like to thank my great friend Senator Pat Leahy for being here and for his strong support of privacy issues in the United States Congress. As others have said, I want to thank the entire team of people who worked on this. They worked on this issue for months and months and months. They worked hard. Some of them worked, I might add, at great personal sacrifice to themselves, because of developments unrelated to this issue, to get this out, because they believe so strongly in what they were doing. And I also would like to thank my Chief of Staff, John Podesta, who has been a fanatic on this issue in the best sense. Now, I want to thank all the folks at HHS for&mdash;Donna Shalala went over just some of the things that we have done in this administration over the last 8 years, thanks to all of you at HHS. And she said you were beginning to feel like Nebraska. But look, there's a big difference. You know, they say that because of the 24hour news cycle, we're all in a permanent campaign. And when you're in a permanent campaign, it's hard to take the time to go to someplace you have no chance of winning&mdash;Nebraska&mdash;&mdash;or someplace you have no chance of losing&mdash;the HHS Building. Right? So&mdash;. I might say, just parenthetically, I had a wonderful time in Kearney, Nebraska, and in Omaha, and you would be amazed at all the letters I've gotten. I have already received more letters than I thought there were Democrats in the State of Nebraska. It was quite wonderful. So I'm grateful. I want to thank all of you, and especially Donna Shalala, for these last 8 years. I believe that Donna Shalala is a superb leader, a great administrator, always full of energy. You will be happy to know, and not surprised, that she has steadfastly defended the people who work at the Department of Health and Human Services in pitched battles at the White House over various issues. You guys have so much responsibility over so many things; every day you get a new chance to wreck an administration. The fact that you somehow managed to avoid doing so, and along the way to get us up to record levels of childhood immunization, to get the number of people without health insurance going down for the first time in a dozen years, to involve women and seniors in clinical trials to an unprecedented extent, to add 24, 25 years to the Medicare Trust Fund and 2.5 million kids to the ranks of insured, and do so many other things, to be a positive force in the welfare reform movement, is a real tribute to you, but I think, also, to Donna Shalala and her remarkable tenure as the leader of this Department. And she makes it fun, you know? Now she's going to become president of the University of Miami. We're just sort of a way station on her move south. She was at Wisconsin and then here and then going to Miami. I think you can confidently predict two or three things that will flow out of her tenure there: She will improve the academic quality of the institution; the football team will get even better&mdash;; and they will do whatever is necessary to clarify the voting procedures in Dade County. Look, we're having a good time today, but I want to take a moment to be very, very serious. We say that we are a free nation in a world growing increasingly free. And in so many ways, that is literally true. During the period in which I was President, I was fortunate enough to serve here at a time when, for the first time in all of human history, more than half the people on the globe live under governments of their own choosing. Now, that's a wonderful thing. That's one manifestation of freedom. Then, there's free speech, the freedom of the press, the right to travel, and also, I might add, minority rights of all kinds, restrictions on the ability of government to compromise the fundamental interests and rights of those who may not agree with the majority. But we must never forget, in this age of increasing interdependence, fueled by an explosion in information technology that is completely changing the way we work and live and relate to each other, that increasingly, we will have to ask ourselves: Does our freedom include privacy? Because there are new and different ways for that privacy to be restricted. In 1928 Justice Brandeis wrote his famous words saying that privacy was the right most valued by civilized people, and he defined it simply as the right to be left alone. Nothing is more private than someone's medical or psychiatric records. And therefore, if we are to make freedom fully meaningful in the information age, when most of our stuff is on some computer somewhere, we have to protect the privacy of individual health records. The new rules we release today protect the medical records of virtually every American. They represent the most sweeping privacy protections ever written, and they are built on the foundation of the bipartisan Kennedy-Kassebaum legislation I signed 4 years ago. This action is required by the great tides of technological and economic change that have swept through the medical profession over the last few years. In the past, medical records were kept on paper by doctors and stored in file cabinets by nurses; doctors and nurses, by and large, known to their patients. Seldom were those records shared with anyone outside the doctor's office. Today, physicians increasingly store them electronically, and they are now obliged to share those records in paper or electronic form with insurance companies and other reviewers. To be sure, storing and transmitting medical records electronically is a remarkable application of information technology. They're cost-effective; they can save lives by helping doctors to make quicker and better-informed decisions. But it is quite a problem that, with a click of a mouse, your personal health information can be accessed without your consent by people you don't know, who aren't physicians, for reasons that have nothing to do with your health care. It doesn't take a doctor to understand that that is a prescription for abuse. So, the rules that we release today have been carefully crafted for this new era, to make medical records easier to see for those who should see them and much harder to see for those who shouldn't. Employers, for instance, shouldn't see medical records, except for limited reasons, such as to process insurance claims. Yet, too often they do, as you just heard. A recent survey showed that more than a third of all Fortune 500 companies check medical records before they hire or promote. One large employer in Pennsylvania had no trouble obtaining detailed information on the prescription drugs taken by its workers, easily discovering that one employee was HIV positive. That is wrong. Under the rules we released today, it will now be illegal. There's something else that's really bothered me too, for years, and that is that private companies should not be able to get hold of the most sensitive medical information for marketing purposes. Yet, too often, that happens as well. Recently, expectant mothers who haven't even told their friends the good news are finding sales letters for baby products in their mailboxes. That's also wrong. And under these new rules, it will also be illegal. Health insurance companies should not be able to share medical records with mortgage companies who might be able to use them to deny you a loan. That actually happens today, but under these rules, it will be illegal. Health insurance companies shouldn't be able to keep you from seeing your own medical records. Up to now, they could. Under these rules, they won't be able to do that anymore. Under the rules being issued today, health plans and providers will have to tell you up front who will and won't be allowed to see your records. And under an Executive order I am issuing today, the Federal Government will no longer have free rein to launch criminal prosecutions based on information gleaned from routine audits of medical records. With these actions today, I have done everything I can to protect the sanctity of individual medical records. But there are further protections our families need that only Congress can provide. For example, only new legislation from Congress can make these new protections fully enforceable and cover every entity which holds medical records. So I urge the new Congress to quickly act to provide these additional protections. For 8 years now, I have worked to marry our enduring values to the stunning possibilities of the information age. In many ways, these new medical privacy rules exemplify what we have tried to do in this administration and how we have tried to do it. We can best meet the future if we take advantage of all these marvelous possibilities but we don't permit them to overwhelm our most fundamental values. I hope that these privacy rules achieve that goal. And again, let me say, for this and so much more, I am profoundly grateful to the people who work here at HHS, the people who work with them at OMB and in the White House. In this action, you have done an enormous amount to reassure and improve the lives of your fellow Americans. Thank you very much.",clinton
